Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,604.724976,605.049988,596.025024,598.549988,578.261780,1854328
2017-01-03,600.400024,600.974976,592.875000,594.950012,574.783875,1923750
2017-01-04,594.924988,596.000000,591.900024,592.750000,572.658447,3483560
2017-01-05,594.500000,597.250000,591.549988,593.099976,572.996582,3388192
2017-01-06,595.049988,599.200012,594.099976,596.825012,576.595337,2762630
2017-01-09,599.424988,602.075012,596.075012,597.599976,577.344055,2286898
2017-01-10,598.099976,608.400024,597.650024,607.174988,586.594543,2773058
2017-01-11,608.750000,619.049988,607.750000,617.000000,596.086487,4671702
2017-01-12,617.500000,621.849976,612.750000,617.500000,596.569580,1458158
2017-01-13,619.500000,619.849976,614.299988,616.250000,595.361938,1925206
2017-01-16,616.750000,624.724976,616.400024,623.825012,602.680176,1882932
2017-01-17,623.500000,626.200012,618.125000,619.250000,598.260193,1779806
2017-01-18,620.450012,628.000000,620.424988,621.299988,600.240723,2306444
2017-01-19,622.450012,622.450012,617.500000,618.150024,597.197571,1756206
2017-01-20,618.000000,622.500000,615.000000,618.174988,597.221619,6971034
2017-01-23,618.000000,625.000000,617.900024,622.325012,601.231079,2396924
2017-01-24,625.000000,635.750000,624.625000,633.775024,612.292908,5130932
2017-01-25,636.299988,647.799988,635.049988,645.299988,623.427246,7818492
2017-01-27,649.500000,650.000000,644.000000,645.950012,624.055298,3426118
2017-01-30,646.474976,646.474976,640.275024,642.474976,620.697937,2659814
2017-01-31,641.200012,646.349976,638.500000,643.325012,621.519226,3050520
2017-02-01,643.099976,655.000000,640.250000,652.849976,630.721375,5455332
2017-02-02,652.849976,652.849976,646.299988,649.349976,627.339966,2985818
2017-02-03,649.500000,658.000000,648.250000,655.525024,633.305603,4002552
2017-02-06,656.150024,660.000000,655.724976,657.049988,634.778992,2155110
2017-02-07,658.000000,659.000000,651.474976,653.575012,631.421753,1705960
2017-02-08,653.775024,659.349976,649.075012,652.825012,630.697144,2470480
2017-02-09,654.700012,659.950012,646.275024,648.825012,626.832764,2232688
2017-02-10,649.174988,654.375000,649.000000,651.799988,629.706909,1648368
2017-02-13,653.775024,657.500000,649.599976,655.099976,632.895081,1397896
2017-02-14,657.000000,657.000000,652.000000,655.549988,633.329773,1223030
